UserID,SessionID,Timestamp,EventType,ProductID,Amount,Outcome
1,1,2024-07-07 18:00:26.959902,page_view,prod_8199,72.91361870063564,purchase
1,1,2024-03-05 22:01:00.072000,page_view,prod_4112,7.677937741600427,purchase
1,1,2024-03-23 22:08:10.568453,product_view,prod_3354,149.27004735392265,purchase
1,1,2024-03-12 00:32:05.495638,add_to_cart,prod_4965,359.58913623256626,purchase
1,1,2024-02-25 22:43:01.318876,add_to_cart,prod_2683,454.1052765032477,purchase
1,1,2024-01-01 23:09:51.956825,page_view,prod_5244,35.606155713957904,purchase
1,1,2024-02-01 05:13:26.944169,add_to_cart,prod_9640,457.6279672342614,purchase
1,1,2024-02-14 15:41:53.071258,login,prod_8364,459.3386403923263,purchase
1,1,2024-05-20 23:13:38.011189,click,prod_9851,262.5236986694382,purchase
1,2,2024-06-27 16:17:34.523695,page_view,prod_6426,199.35696936503544,purchase
1,2,2024-03-31 07:56:23.690975,logout,prod_5771,130.052527996474,purchase
1,2,2024-05-16 22:00:13.041682,click,prod_8066,92.79021854337398,purchase
1,2,2024-04-20 05:07:46.892185,product_view,prod_1102,112.32094388676128,purchase
1,2,2024-01-30 21:47:38.829172,page_view,prod_9886,127.47496301478664,purchase
1,2,2024-03-06 23:01:09.517819,page_view,prod_6144,136.8863327997475,purchase
1,3,2024-03-15 05:22:41.094810,purchase,prod_5644,176.5691854935053,purchase
1,3,2024-01-21 19:23:27.047146,login,prod_6690,241.24229853836383,purchase
1,3,2024-02-13 21:58:06.439701,click,prod_9946,186.82975650819932,purchase
1,3,2024-05-29 13:33:10.268585,product_view,prod_5175,107.78039914003529,purchase
1,3,2024-02-02 22:42:42.062903,add_to_cart,prod_5113,411.0817576605284,purchase
1,3,2024-02-15 12:46:46.387330,add_to_cart,prod_2362,491.64466874014073,purchase
1,3,2024-01-19 15:04:33.065650,page_view,prod_4614,481.21558835328943,purchase
1,3,2024-03-08 20:19:33.022016,login,prod_7475,76.2853241409053,purchase
